"REF_DATE","GEO","DGUID","Housing estimates","Type of unit","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1955","Prince Edward Island","2016A000211","Housing starts","Total units","Units","300","units ","0","v730582","3.1.1","214","","","","0"
"1955","Prince Edward Island","2016A000211","Housing starts","Single-detached","Units","300","units ","0","v730527","3.1.2","201","","","","0"
"1955","Prince Edward Island","2016A000211","Housing starts","Multiples","Units","300","units ","0","v730571","3.1.4","13","","","","0"
"1955","Prince Edward Island","2016A000211","Housing starts","Semi-detached","Units","300","units ","0","v730538","3.1.3","10","","","","0"
"1955","Prince Edward Island","2016A000211","Housing starts","Row","Units","300","units ","0","v730549","3.1.5","0","","","","0"
"1955","Prince Edward Island","2016A000211","Housing starts","Apartment and other unit types","Units","300","units ","0","v730560","3.1.6","3","","","","0"
"1955","Prince Edward Island","2016A000211","Housing completions","Total units","Units","300","units ","0","v732456","3.3.1","199","","","","0"
"1955","Prince Edward Island","2016A000211","Housing completions","Single-detached","Units","300","units ","0","v732401","3.3.2","182","","","","0"
"1955","Prince Edward Island","2016A000211","Housing completions","Multiples","Units","300","units ","0","v732445","3.3.4","17","","","","0"
"1955","Prince Edward Island","2016A000211","Housing completions","Semi-detached","Units","300","units ","0","v732412","3.3.3","12","","","","0"
"1955","Prince Edward Island","2016A000211","Housing completions","Row","Units","300","units ","0","v732423","3.3.5","0","","","","0"
"1955","Prince Edward Island","2016A000211","Housing completions","Apartment and other unit types","Units","300","units ","0","v732434","3.3.6","5","","","","0"
"1955","Nova Scotia","2016A000212","Housing starts","Total units","Units","300","units ","0","v730583","4.1.1","2946","","","","0"
"1955","Nova Scotia","2016A000212","Housing starts","Single-detached","Units","300","units ","0","v730528","4.1.2","2584","","","","0"
"1955","Nova Scotia","2016A000212","Housing starts","Multiples","Units","300","units ","0","v730572","4.1.4","362","","","","0"
"1955","Nova Scotia","2016A000212","Housing starts","Semi-detached","Units","300","units ","0","v730539","4.1.3","8","","","","0"
"1955","Nova Scotia","2016A000212","Housing starts","Row","Units","300","units ","0","v730550","4.1.5","0","","","","0"
"1955","Nova Scotia","2016A000212","Housing starts","Apartment and other unit types","Units","300","units ","0","v730561","4.1.6","354","","","","0"
"1955","Nova Scotia","2016A000212","Housing completions","Total units","Units","300","units ","0","v732457","4.3.1","2611","","","","0"
"1955","Nova Scotia","2016A000212","Housing completions","Single-detached","Units","300","units ","0","v732402","4.3.2","2185","","","","0"
"1955","Nova Scotia","2016A000212","Housing completions","Multiples","Units","300","units ","0","v732446","4.3.4","426","","","","0"
"1955","Nova Scotia","2016A000212","Housing completions","Semi-detached","Units","300","units ","0","v732413","4.3.3","16","","","","0"
"1955","Nova Scotia","2016A000212","Housing completions","Row","Units","300","units ","0","v732424","4.3.5","0","","","","0"
"1955","Nova Scotia","2016A000212","Housing completions","Apartment and other unit types","Units","300","units ","0","v732435","4.3.6","410","","","","0"
"1955","New Brunswick","2016A000213","Housing starts","Total units","Units","300","units ","0","v730584","5.1.1","2986","","","","0"
"1955","New Brunswick","2016A000213","Housing starts","Single-detached","Units","300","units ","0","v730529","5.1.2","2692","","","","0"
"1955","New Brunswick","2016A000213","Housing starts","Multiples","Units","300","units ","0","v730573","5.1.4","294","","","","0"
"1955","New Brunswick","2016A000213","Housing starts","Semi-detached","Units","300","units ","0","v730540","5.1.3","86","","","","0"
"1955","New Brunswick","2016A000213","Housing starts","Row","Units","300","units ","0","v730551","5.1.5","4","","","","0"
"1955","New Brunswick","2016A000213","Housing starts","Apartment and other unit types","Units","300","units ","0","v730562","5.1.6","204","","","","0"
"1955","New Brunswick","2016A000213","Housing completions","Total units","Units","300","units ","0","v732458","5.3.1","2562","","","","0"
"1955","New Brunswick","2016A000213","Housing completions","Single-detached","Units","300","units ","0","v732403","5.3.2","2405","","","","0"
"1955","New Brunswick","2016A000213","Housing completions","Multiples","Units","300","units ","0","v732447","5.3.4","157","","","","0"
"1955","New Brunswick","2016A000213","Housing completions","Semi-detached","Units","300","units ","0","v732414","5.3.3","80","","","","0"
"1955","New Brunswick","2016A000213","Housing completions","Row","Units","300","units ","0","v732425","5.3.5","4","","","","0"
"1955","New Brunswick","2016A000213","Housing completions","Apartment and other unit types","Units","300","units ","0","v732436","5.3.6","73","","","","0"
"1955","Quebec","2016A000224","Housing starts","Total units","Units","300","units ","0","v730585","6.1.1","39852","","","","0"
"1955","Quebec","2016A000224","Housing starts","Single-detached","Units","300","units ","0","v730530","6.1.2","17805","","","","0"
"1955","Quebec","2016A000224","Housing starts","Multiples","Units","300","units ","0","v730574","6.1.4","22047","","","","0"
"1955","Quebec","2016A000224","Housing starts","Semi-detached","Units","300","units ","0","v730541","6.1.3","6738","","","","0"
"1955","Quebec","2016A000224","Housing starts","Row","Units","300","units ","0","v730552","6.1.5","1032","","","","0"
"1955","Quebec","2016A000224","Housing starts","Apartment and other unit types","Units","300","units ","0","v730563","6.1.6","14277","","","","0"
"1955","Quebec","2016A000224","Housing completions","Total units","Units","300","units ","0","v732459","6.3.1","34866","","","","0"
"1955","Quebec","2016A000224","Housing completions","Single-detached","Units","300","units ","0","v732404","6.3.2","16643","","","","0"
"1955","Quebec","2016A000224","Housing completions","Multiples","Units","300","units ","0","v732448","6.3.4","18223","","","","0"
"1955","Quebec","2016A000224","Housing completions","Semi-detached","Units","300","units ","0","v732415","6.3.3","5522","","","","0"
"1955","Quebec","2016A000224","Housing completions","Row","Units","300","units ","0","v732426","6.3.5","395","","","","0"
"1955","Quebec","2016A000224","Housing completions","Apartment and other unit types","Units","300","units ","0","v732437","6.3.6","12306","","","","0"
"1955","Ontario","2016A000235","Housing starts","Total units","Units","300","units ","0","v730586","7.1.1","53456","","","","0"
"1955","Ontario","2016A000235","Housing starts","Single-detached","Units","300","units ","0","v730531","7.1.2","43257","","","","0"
"1955","Ontario","2016A000235","Housing starts","Multiples","Units","300","units ","0","v730575","7.1.4","10199","","","","0"
"1955","Ontario","2016A000235","Housing starts","Semi-detached","Units","300","units ","0","v730542","7.1.3","2758","","","","0"
"1955","Ontario","2016A000235","Housing starts","Row","Units","300","units ","0","v730553","7.1.5","422","","","","0"
"1955","Ontario","2016A000235","Housing starts","Apartment and other unit types","Units","300","units ","0","v730564","7.1.6","7019","","","","0"
"1955","Ontario","2016A000235","Housing completions","Total units","Units","300","units ","0","v732460","7.3.1","51612","","","","0"
"1955","Ontario","2016A000235","Housing completions","Single-detached","Units","300","units ","0","v732405","7.3.2","39346","","","","0"
"1955","Ontario","2016A000235","Housing completions","Multiples","Units","300","units ","0","v732449","7.3.4","12266","","","","0"
"1955","Ontario","2016A000235","Housing completions","Semi-detached","Units","300","units ","0","v732416","7.3.3","1742","","","","0"
"1955","Ontario","2016A000235","Housing completions","Row","Units","300","units ","0","v732427","7.3.5","553","","","","0"
"1955","Ontario","2016A000235","Housing completions","Apartment and other unit types","Units","300","units ","0","v732438","7.3.6","9971","","","","0"
"1955","Manitoba","2016A000246","Housing starts","Total units","Units","300","units ","0","v730587","8.1.1","6705","","","","0"
"1955","Manitoba","2016A000246","Housing starts","Single-detached","Units","300","units ","0","v730532","8.1.2","5163","","","","0"
"1955","Manitoba","2016A000246","Housing starts","Multiples","Units","300","units ","0","v730576","8.1.4","1542","","","","0"
"1955","Manitoba","2016A000246","Housing starts","Semi-detached","Units","300","units ","0","v730543","8.1.3","114","","","","0"
"1955","Manitoba","2016A000246","Housing starts","Row","Units","300","units ","0","v730554","8.1.5","0","","","","0"
"1955","Manitoba","2016A000246","Housing starts","Apartment and other unit types","Units","300","units ","0","v730565","8.1.6","1428","","","","0"
"1955","Manitoba","2016A000246","Housing completions","Total units","Units","300","units ","0","v732461","8.3.1","5873","","","","0"
"1955","Manitoba","2016A000246","Housing completions","Single-detached","Units","300","units ","0","v732406","8.3.2","4565","","","","0"
"1955","Manitoba","2016A000246","Housing completions","Multiples","Units","300","units ","0","v732450","8.3.4","1308","","","","0"
"1955","Manitoba","2016A000246","Housing completions","Semi-detached","Units","300","units ","0","v732417","8.3.3","108","","","","0"
"1955","Manitoba","2016A000246","Housing completions","Row","Units","300","units ","0","v732428","8.3.5","0","","","","0"
"1955","Manitoba","2016A000246","Housing completions","Apartment and other unit types","Units","300","units ","0","v732439","8.3.6","1200","","","","0"
"1955","Saskatchewan","2016A000247","Housing starts","Total units","Units","300","units ","0","v730588","9.1.1","4348","","","","0"
"1955","Saskatchewan","2016A000247","Housing starts","Single-detached","Units","300","units ","0","v730533","9.1.2","3931","","","","0"
"1955","Saskatchewan","2016A000247","Housing starts","Multiples","Units","300","units ","0","v730577","9.1.4","417","","","","0"
"1955","Saskatchewan","2016A000247","Housing starts","Semi-detached","Units","300","units ","0","v730544","9.1.3","8","","","","0"
"1955","Saskatchewan","2016A000247","Housing starts","Row","Units","300","units ","0","v730555","9.1.5","81","","","","0"
"1955","Saskatchewan","2016A000247","Housing starts","Apartment and other unit types","Units","300","units ","0","v730566","9.1.6","328","","","","0"
"1955","Saskatchewan","2016A000247","Housing completions","Total units","Units","300","units ","0","v732462","9.3.1","4278","","","","0"
"1955","Saskatchewan","2016A000247","Housing completions","Single-detached","Units","300","units ","0","v732407","9.3.2","3829","","","","0"
"1955","Saskatchewan","2016A000247","Housing completions","Multiples","Units","300","units ","0","v732451","9.3.4","449","","","","0"
"1955","Saskatchewan","2016A000247","Housing completions","Semi-detached","Units","300","units ","0","v732418","9.3.3","6","","","","0"
"1955","Saskatchewan","2016A000247","Housing completions","Row","Units","300","units ","0","v732429","9.3.5","108","","","","0"
"1955","Saskatchewan","2016A000247","Housing completions","Apartment and other unit types","Units","300","units ","0","v732440","9.3.6","335","","","","0"
"1955","Alberta","2016A000248","Housing starts","Total units","Units","300","units ","0","v730589","10.1.1","10542","","","","0"
"1955","Alberta","2016A000248","Housing starts","Single-detached","Units","300","units ","0","v730534","10.1.2","9759","","","","0"
"1955","Alberta","2016A000248","Housing starts","Multiples","Units","300","units ","0","v730578","10.1.4","783","","","","0"
"1955","Alberta","2016A000248","Housing starts","Semi-detached","Units","300","units ","0","v730545","10.1.3","150","","","","0"
"1955","Alberta","2016A000248","Housing starts","Row","Units","300","units ","0","v730556","10.1.5","99","","","","0"
"1955","Alberta","2016A000248","Housing starts","Apartment and other unit types","Units","300","units ","0","v730567","10.1.6","534","","","","0"
"1955","Alberta","2016A000248","Housing completions","Total units","Units","300","units ","0","v732463","10.3.1","10610","","","","0"
"1955","Alberta","2016A000248","Housing completions","Single-detached","Units","300","units ","0","v732408","10.3.2","9076","","","","0"
"1955","Alberta","2016A000248","Housing completions","Multiples","Units","300","units ","0","v732452","10.3.4","1534","","","","0"
"1955","Alberta","2016A000248","Housing completions","Semi-detached","Units","300","units ","0","v732419","10.3.3","192","","","","0"
"1955","Alberta","2016A000248","Housing completions","Row","Units","300","units ","0","v732430","10.3.5","219","","","","0"
"1955","Alberta","2016A000248","Housing completions","Apartment and other unit types","Units","300","units ","0","v732441","10.3.6","1123","","","","0"
"1955","British Columbia","2016A000259","Housing starts","Total units","Units","300","units ","0","v730581","11.1.1","15614","","","","0"
"1955","British Columbia","2016A000259","Housing starts","Single-detached","Units","300","units ","0","v730526","11.1.2","12012","","","","0"
"1955","British Columbia","2016A000259","Housing starts","Multiples","Units","300","units ","0","v730570","11.1.4","3602","","","","0"
"1955","British Columbia","2016A000259","Housing starts","Semi-detached","Units","300","units ","0","v730537","11.1.3","728","","","","0"
"1955","British Columbia","2016A000259","Housing starts","Row","Units","300","units ","0","v730548","11.1.5","271","","","","0"
"1955","British Columbia","2016A000259","Housing starts","Apartment and other unit types","Units","300","units ","0","v730559","11.1.6","2603","","","","0"
"1955","British Columbia","2016A000259","Housing completions","Total units","Units","300","units ","0","v732455","11.3.1","14034","","","","0"
"1955","British Columbia","2016A000259","Housing completions","Single-detached","Units","300","units ","0","v732400","11.3.2","11055","","","","0"
"1955","British Columbia","2016A000259","Housing completions","Multiples","Units","300","units ","0","v732444","11.3.4","2979","","","","0"
"1955","British Columbia","2016A000259","Housing completions","Semi-detached","Units","300","units ","0","v732411","11.3.3","598","","","","0"
"1955","British Columbia","2016A000259","Housing completions","Row","Units","300","units ","0","v732422","11.3.5","268","","","","0"
"1955","British Columbia","2016A000259","Housing completions","Apartment and other unit types","Units","300","units ","0","v732433","11.3.6","2113","","","","0"
"1956","Canada","2016A000011124","Housing starts","Total units","Units","300","units ","0","v730579","1.1.1","127311","","","","0"
"1956","Canada","2016A000011124","Housing starts","Single-detached","Units","300","units ","0","v730524","1.1.2","90620","","","","0"
"1956","Canada","2016A000011124","Housing starts","Multiples","Units","300","units ","0","v730568","1.1.4","36691","","","","0"
"1956","Canada","2016A000011124","Housing starts","Semi-detached","Units","300","units ","0","v730535","1.1.3","9441","","","","0"
"1956","Canada","2016A000011124","Housing starts","Row","Units","300","units ","0","v730546","1.1.5","2263","","","","0"
"1956","Canada","2016A000011124","Housing starts","Apartment and other unit types","Units","300","units ","0","v730557","1.1.6","24987","","","","0"
"1956","Canada","2016A000011124","Housing completions","Total units","Units","300","units ","0","v732453","1.3.1","135700","","","","0"
"1956","Canada","2016A000011124","Housing completions","Single-detached","Units","300","units ","0","v732398","1.3.2","95656","","","","0"
"1956","Canada","2016A000011124","Housing completions","Multiples","Units","300","units ","0","v732442","1.3.4","40044","","","","0"
"1956","Canada","2016A000011124","Housing completions","Semi-detached","Units","300","units ","0","v732409","1.3.3","11872","","","","0"
"1956","Canada","2016A000011124","Housing completions","Row","Units","300","units ","0","v732420","1.3.5","2137","","","","0"
"1956","Canada","2016A000011124","Housing completions","Apartment and other unit types","Units","300","units ","0","v732431","1.3.6","26035","","","","0"
"1956","Newfoundland and Labrador","2016A000210","Housing starts","Total units","Units","300","units ","0","v730580","2.1.1","1652","","","","0"
"1956","Newfoundland and Labrador","2016A000210","Housing starts","Single-detached","Units","300","units ","0","v730525","2.1.2","1584","","","","0"
"1956","Newfoundland and Labrador","2016A000210","Housing starts","Multiples","Units","300","units ","0","v730569","2.1.4","68","","","","0"
"1956","Newfoundland and Labrador","2016A000210","Housing starts","Semi-detached","Units","300","units ","0","v730536","2.1.3","8","","","","0"
"1956","Newfoundland and Labrador","2016A000210","Housing starts","Row","Units","300","units ","0","v730547","2.1.5","0","","","","0"
"1956","Newfoundland and Labrador","2016A000210","Housing starts","Apartment and other unit types","Units","300","units ","0","v730558","2.1.6","60","","","","0"
"1956","Newfoundland and Labrador","2016A000210","Housing completions","Total units","Units","300","units ","0","v732454","2.3.1","1510","","","","0"
"1956","Newfoundland and Labrador","2016A000210","Housing completions","Single-detached","Units","300","units ","0","v732399","2.3.2","1503","","","","0"
"1956","Newfoundland and Labrador","2016A000210","Housing completions","Multiples","Units","300","units ","0","v732443","2.3.4","7","","","","0"
"1956","Newfoundland and Labrador","2016A000210","Housing completions","Semi-detached","Units","300","units ","0","v732410","2.3.3","6","","","","0"
"1956","Newfoundland and Labrador","2016A000210","Housing completions","Row","Units","300","units ","0","v732421","2.3.5","0","","","","0"
"1956","Newfoundland and Labrador","2016A000210","Housing completions","Apartment and other unit types","Units","300","units ","0","v732432","2.3.6","1","","","","0"
"1956","Prince Edward Island","2016A000211","Housing starts","Total units","Units","300","units ","0","v730582","3.1.1","114","","","","0"
"1956","Prince Edward Island","2016A000211","Housing starts","Single-detached","Units","300","units ","0","v730527","3.1.2","104","","","","0"
"1956","Prince Edward Island","2016A000211","Housing starts","Multiples","Units","300","units ","0","v730571","3.1.4","10","","","","0"
"1956","Prince Edward Island","2016A000211","Housing starts","Semi-detached","Units","300","units ","0","v730538","3.1.3","4","","","","0"
"1956","Prince Edward Island","2016A000211","Housing starts","Row","Units","300","units ","0","v730549","3.1.5","0","","","","0"
"1956","Prince Edward Island","2016A000211","Housing starts","Apartment and other unit types","Units","300","units ","0","v730560","3.1.6","6","","","","0"
"1956","Prince Edward Island","2016A000211","Housing completions","Total units","Units","300","units ","0","v732456","3.3.1","171","","","","0"
"1956","Prince Edward Island","2016A000211","Housing completions","Single-detached","Units","300","units ","0","v732401","3.3.2","160","","","","0"
"1956","Prince Edward Island","2016A000211","Housing completions","Multiples","Units","300","units ","0","v732445","3.3.4","11","","","","0"
"1956","Prince Edward Island","2016A000211","Housing completions","Semi-detached","Units","300","units ","0","v732412","3.3.3","8","","","","0"
"1956","Prince Edward Island","2016A000211","Housing completions","Row","Units","300","units ","0","v732423","3.3.5","3","","","","0"
"1956","Prince Edward Island","2016A000211","Housing completions","Apartment and other unit types","Units","300","units ","0","v732434","3.3.6","0","","","","0"
"1956","Nova Scotia","2016A000212","Housing starts","Total units","Units","300","units ","0","v730583","4.1.1","2871","","","","0"
"1956","Nova Scotia","2016A000212","Housing starts","Single-detached","Units","300","units ","0","v730528","4.1.2","2583","","","","0"
"1956","Nova Scotia","2016A000212","Housing starts","Multiples","Units","300","units ","0","v730572","4.1.4","288","","","","0"
"1956","Nova Scotia","2016A000212","Housing starts","Semi-detached","Units","300","units ","0","v730539","4.1.3","4","","","","0"
"1956","Nova Scotia","2016A000212","Housing starts","Row","Units","300","units ","0","v730550","4.1.5","4","","","","0"
"1956","Nova Scotia","2016A000212","Housing starts","Apartment and other unit types","Units","300","units ","0","v730561","4.1.6","280","","","","0"
"1956","Nova Scotia","2016A000212","Housing completions","Total units","Units","300","units ","0","v732457","4.3.1","2549","","","","0"
"1956","Nova Scotia","2016A000212","Housing completions","Single-detached","Units","300","units ","0","v732402","4.3.2","2162","","","","0"
"1956","Nova Scotia","2016A000212","Housing completions","Multiples","Units","300","units ","0","v732446","4.3.4","387","","","","0"
"1956","Nova Scotia","2016A000212","Housing completions","Semi-detached","Units","300","units ","0","v732413","4.3.3","30","","","","0"
"1956","Nova Scotia","2016A000212","Housing completions","Row","Units","300","units ","0","v732424","4.3.5","0","","","","0"
"1956","Nova Scotia","2016A000212","Housing completions","Apartment and other unit types","Units","300","units ","0","v732435","4.3.6","357","","","","0"
"1956","New Brunswick","2016A000213","Housing starts","Total units","Units","300","units ","0","v730584","5.1.1","3381","","","","0"
"1956","New Brunswick","2016A000213","Housing starts","Single-detached","Units","300","units ","0","v730529","5.1.2","3247","","","","0"
"1956","New Brunswick","2016A000213","Housing starts","Multiples","Units","300","units ","0","v730573","5.1.4","134","","","","0"
"1956","New Brunswick","2016A000213","Housing starts","Semi-detached","Units","300","units ","0","v730540","5.1.3","98","","","","0"
"1956","New Brunswick","2016A000213","Housing starts","Row","Units","300","units ","0","v730551","5.1.5","0","","","","0"
"1956","New Brunswick","2016A000213","Housing starts","Apartment and other unit types","Units","300","units ","0","v730562","5.1.6","36","","","","0"
"1956","New Brunswick","2016A000213","Housing completions","Total units","Units","300","units ","0","v732458","5.3.1","2450","","","","0"
"1956","New Brunswick","2016A000213","Housing completions","Single-detached","Units","300","units ","0","v732403","5.3.2","2172","","","","0"
"1956","New Brunswick","2016A000213","Housing completions","Multiples","Units","300","units ","0","v732447","5.3.4","278","","","","0"
"1956","New Brunswick","2016A000213","Housing completions","Semi-detached","Units","300","units ","0","v732414","5.3.3","156","","","","0"
"1956","New Brunswick","2016A000213","Housing completions","Row","Units","300","units ","0","v732425","5.3.5","3","","","","0"
"1956","New Brunswick","2016A000213","Housing completions","Apartment and other unit types","Units","300","units ","0","v732436","5.3.6","119","","","","0"
"1956","Quebec","2016A000224","Housing starts","Total units","Units","300","units ","0","v730585","6.1.1","35999","","","","0"
"1956","Quebec","2016A000224","Housing starts","Single-detached","Units","300","units ","0","v730530","6.1.2","16826","","","","0"
"1956","Quebec","2016A000224","Housing starts","Multiples","Units","300","units ","0","v730574","6.1.4","19173","","","","0"
"1956","Quebec","2016A000224","Housing starts","Semi-detached","Units","300","units ","0","v730541","6.1.3","6317","","","","0"
"1956","Quebec","2016A000224","Housing starts","Row","Units","300","units ","0","v730552","6.1.5","1214","","","","0"
"1956","Quebec","2016A000224","Housing starts","Apartment and other unit types","Units","300","units ","0","v730563","6.1.6","11642","","","","0"
"1956","Quebec","2016A000224","Housing completions","Total units","Units","300","units ","0","v732459","6.3.1","41166","","","","0"
"1956","Quebec","2016A000224","Housing completions","Single-detached","Units","300","units ","0","v732404","6.3.2","18312","","","","0"
"1956","Quebec","2016A000224","Housing completions","Multiples","Units","300","units ","0","v732448","6.3.4","22854","","","","0"
"1956","Quebec","2016A000224","Housing completions","Semi-detached","Units","300","units ","0","v732415","6.3.3","7868","","","","0"
"1956","Quebec","2016A000224","Housing completions","Row","Units","300","units ","0","v732426","6.3.5","1194","","","","0"
"1956","Quebec","2016A000224","Housing completions","Apartment and other unit types","Units","300","units ","0","v732437","6.3.6","13792","","","","0"
"1956","Ontario","2016A000235","Housing starts","Total units","Units","300","units ","0","v730586","7.1.1","48712","","","","0"
"1956","Ontario","2016A000235","Housing starts","Single-detached","Units","300","units ","0","v730531","7.1.2","37542","","","","0"
"1956","Ontario","2016A000235","Housing starts","Multiples","Units","300","units ","0","v730575","7.1.4","11170","","","","0"
"1956","Ontario","2016A000235","Housing starts","Semi-detached","Units","300","units ","0","v730542","7.1.3","2074","","","","0"
"1956","Ontario","2016A000235","Housing starts","Row","Units","300","units ","0","v730553","7.1.5","280","","","","0"
"1956","Ontario","2016A000235","Housing starts","Apartment and other unit types","Units","300","units ","0","v730564","7.1.6","8816","","","","0"
"1956","Ontario","2016A000235","Housing completions","Total units","Units","300","units ","0","v732460","7.3.1","51201","","","","0"
"1956","Ontario","2016A000235","Housing completions","Single-detached","Units","300","units ","0","v732405","7.3.2","40721","","","","0"
"1956","Ontario","2016A000235","Housing completions","Multiples","Units","300","units ","0","v732449","7.3.4","10480","","","","0"
"1956","Ontario","2016A000235","Housing completions","Semi-detached","Units","300","units ","0","v732416","7.3.3","2708","","","","0"
"1956","Ontario","2016A000235","Housing completions","Row","Units","300","units ","0","v732427","7.3.5","317","","","","0"
"1956","Ontario","2016A000235","Housing completions","Apartment and other unit types","Units","300","units ","0","v732438","7.3.6","7455","","","","0"
"1956","Manitoba","2016A000246","Housing starts","Total units","Units","300","units ","0","v730587","8.1.1","5204","","","","0"
"1956","Manitoba","2016A000246","Housing starts","Single-detached","Units","300","units ","0","v730532","8.1.2","4604","","","","0"
"1956","Manitoba","2016A000246","Housing starts","Multiples","Units","300","units ","0","v730576","8.1.4","600","","","","0"
"1956","Manitoba","2016A000246","Housing starts","Semi-detached","Units","300","units ","0","v730543","8.1.3","108","","","","0"
"1956","Manitoba","2016A000246","Housing starts","Row","Units","300","units ","0","v730554","8.1.5","38","","","","0"
"1956","Manitoba","2016A000246","Housing starts","Apartment and other unit types","Units","300","units ","0","v730565","8.1.6","454","","","","0"
"1956","Manitoba","2016A000246","Housing completions","Total units","Units","300","units ","0","v732461","8.3.1","6438","","","","0"
"1956","Manitoba","2016A000246","Housing completions","Single-detached","Units","300","units ","0","v732406","8.3.2","5244","","","","0"
"1956","Manitoba","2016A000246","Housing completions","Multiples","Units","300","units ","0","v732450","8.3.4","1194","","","","0"
"1956","Manitoba","2016A000246","Housing completions","Semi-detached","Units","300","units ","0","v732417","8.3.3","120","","","","0"
"1956","Manitoba","2016A000246","Housing completions","Row","Units","300","units ","0","v732428","8.3.5","0","","","","0"
"1956","Manitoba","2016A000246","Housing completions","Apartment and other unit types","Units","300","units ","0","v732439","8.3.6","1074","","","","0"
"1956","Saskatchewan","2016A000247","Housing starts","Total units","Units","300","units ","0","v730588","9.1.1","3779","","","","0"
"1956","Saskatchewan","2016A000247","Housing starts","Single-detached","Units","300","units ","0","v730533","9.1.2","3373","","","","0"
"1956","Saskatchewan","2016A000247","Housing starts","Multiples","Units","300","units ","0","v730577","9.1.4","406","","","","0"
"1956","Saskatchewan","2016A000247","Housing starts","Semi-detached","Units","300","units ","0","v730544","9.1.3","46","","","","0"
"1956","Saskatchewan","2016A000247","Housing starts","Row","Units","300","units ","0","v730555","9.1.5","214","","","","0"
"1956","Saskatchewan","2016A000247","Housing starts","Apartment and other unit types","Units","300","units ","0","v730566","9.1.6","146","","","","0"
"1956","Saskatchewan","2016A000247","Housing completions","Total units","Units","300","units ","0","v732462","9.3.1","3603","","","","0"
"1956","Saskatchewan","2016A000247","Housing completions","Single-detached","Units","300","units ","0","v732407","9.3.2","3289","","","","0"
"1956","Saskatchewan","2016A000247","Housing completions","Multiples","Units","300","units ","0","v732451","9.3.4","314","","","","0"
"1956","Saskatchewan","2016A000247","Housing completions","Semi-detached","Units","300","units ","0","v732418","9.3.3","8","","","","0"
"1956","Saskatchewan","2016A000247","Housing completions","Row","Units","300","units ","0","v732429","9.3.5","184","","","","0"
"1956","Saskatchewan","2016A000247","Housing completions","Apartment and other unit types","Units","300","units ","0","v732440","9.3.6","122","","","","0"
