date,region,property_type,baseline,index_value
1981-01,"Montréal, Quebec",School,"Index, 2002=100",53.7
1981-01,"Montréal, Quebec",School,"Index, 2002=100",47.0
1981-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Office,"Index, 2002=100",47.7
1981-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Office,"Index, 2002=100",42.9
1981-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Office,"Index, 2002=100",53.2
1981-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Office,"Index, 2002=100",46.2
1981-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Office,"Index, 2002=100",48.7
1981-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Warehouse,"Index, 2002=100",50.8
1981-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Warehouse,"Index, 2002=100",50.4
1981-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Warehouse,"Index, 2002=100",51.2
1981-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Warehouse,"Index, 2002=100",45.9
1981-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Warehouse,"Index, 2002=100",51.7
1981-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Shopping centre,"Index, 2002=100",50.3
1981-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Shopping centre,"Index, 2002=100",46.7
1981-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Shopping centre,"Index, 2002=100",48.8
1981-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Shopping centre,"Index, 2002=100",60.6
1981-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Shopping centre,"Index, 2002=100",58.8
1981-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Light factory,"Index, 2002=100",46.1
1981-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Light factory,"Index, 2002=100",50.7
1981-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Light factory,"Index, 2002=100",46.4
1981-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Light factory,"Index, 2002=100",44.9
1981-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Light factory,"Index, 2002=100",51.3
1981-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",School,"Index, 2002=100",48.6
1981-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",School,"Index, 2002=100",49.4
1981-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",School,"Index, 2002=100",51.6
1981-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",School,"Index, 2002=100",46.7
1981-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",School,"Index, 2002=100",42.8
1981-01,"Toronto, Ontario",Office,"Index, 2002=100",46.7
1981-01,"Toronto, Ontario",Office,"Index, 2002=100",44.2
1981-01,"Toronto, Ontario",Office,"Index, 2002=100",50.7
1981-01,"Toronto, Ontario",Office,"Index, 2002=100",46.0
1981-01,"Toronto, Ontario",Office,"Index, 2002=100",44.5
1981-01,"Toronto, Ontario",Warehouse,"Index, 2002=100",43.1
1981-01,"Toronto, Ontario",Warehouse,"Index, 2002=100",42.2
1981-01,"Toronto, Ontario",Warehouse,"Index, 2002=100",42.4
1981-01,"Toronto, Ontario",Warehouse,"Index, 2002=100",44.7
1981-01,"Toronto, Ontario",Warehouse,"Index, 2002=100",49.6
1981-01,"Toronto, Ontario",Shopping centre,"Index, 2002=100",47.5
1981-01,"Toronto, Ontario",Shopping centre,"Index, 2002=100",45.7
1981-01,"Toronto, Ontario",Shopping centre,"Index, 2002=100",45.6
1981-01,"Toronto, Ontario",Shopping centre,"Index, 2002=100",56.6
1981-01,"Toronto, Ontario",Shopping centre,"Index, 2002=100",52.4
1981-01,"Toronto, Ontario",Light factory,"Index, 2002=100",41.7
1981-01,"Toronto, Ontario",Light factory,"Index, 2002=100",45.4
1981-01,"Toronto, Ontario",Light factory,"Index, 2002=100",37.7
1981-01,"Toronto, Ontario",Light factory,"Index, 2002=100",46.1
1981-01,"Toronto, Ontario",Light factory,"Index, 2002=100",43.5
1981-01,"Toronto, Ontario",School,"Index, 2002=100",46.3
1981-01,"Toronto, Ontario",School,"Index, 2002=100",48.8
1981-01,"Toronto, Ontario",School,"Index, 2002=100",46.6
1981-01,"Toronto, Ontario",School,"Index, 2002=100",44.6
1981-01,"Toronto, Ontario",School,"Index, 2002=100",42.4
1981-01,"Calgary, Alberta",Office,"Index, 2002=100",66.1
1981-01,"Calgary, Alberta",Office,"Index, 2002=100",61.6
1981-01,"Calgary, Alberta",Office,"Index, 2002=100",69.3
1981-01,"Calgary, Alberta",Office,"Index, 2002=100",57.9
1981-01,"Calgary, Alberta",Office,"Index, 2002=100",75.5
1981-01,"Calgary, Alberta",Warehouse,"Index, 2002=100",67.6
1981-01,"Calgary, Alberta",Warehouse,"Index, 2002=100",63.1
1981-01,"Calgary, Alberta",Warehouse,"Index, 2002=100",67.0
1981-01,"Calgary, Alberta",Warehouse,"Index, 2002=100",61.2
1981-01,"Calgary, Alberta",Warehouse,"Index, 2002=100",67.0
1981-01,"Calgary, Alberta",Shopping centre,"Index, 2002=100",68.7
1981-01,"Calgary, Alberta",Shopping centre,"Index, 2002=100",61.7
1981-01,"Calgary, Alberta",Shopping centre,"Index, 2002=100",64.0
1981-01,"Calgary, Alberta",Shopping centre,"Index, 2002=100",70.0
1981-01,"Calgary, Alberta",Shopping centre,"Index, 2002=100",68.0
1981-01,"Calgary, Alberta",Light factory,"Index, 2002=100",65.9
1981-01,"Calgary, Alberta",Light factory,"Index, 2002=100",61.5
1981-01,"Calgary, Alberta",Light factory,"Index, 2002=100",69.8
1981-01,"Calgary, Alberta",Light factory,"Index, 2002=100",61.5
1981-01,"Calgary, Alberta",Light factory,"Index, 2002=100",63.2
1981-01,"Calgary, Alberta",School,"Index, 2002=100",63.4
1981-01,"Calgary, Alberta",School,"Index, 2002=100",62.3
1981-01,"Calgary, Alberta",School,"Index, 2002=100",65.9
1981-01,"Calgary, Alberta",School,"Index, 2002=100",57.6
1981-01,"Calgary, Alberta",School,"Index, 2002=100",63.2
1981-01,"Edmonton, Alberta",Office,"Index, 2002=100",65.9
1981-01,"Edmonton, Alberta",Office,"Index, 2002=100",65.3
1981-01,"Edmonton, Alberta",Office,"Index, 2002=100",69.1
1981-01,"Edmonton, Alberta",Office,"Index, 2002=100",58.5
1981-01,"Edmonton, Alberta",Office,"Index, 2002=100",66.0
1981-01,"Edmonton, Alberta",Warehouse,"Index, 2002=100",69.9
1981-01,"Edmonton, Alberta",Warehouse,"Index, 2002=100",64.7
1981-01,"Edmonton, Alberta",Warehouse,"Index, 2002=100",69.6
1981-01,"Edmonton, Alberta",Warehouse,"Index, 2002=100",61.7
1981-01,"Edmonton, Alberta",Warehouse,"Index, 2002=100",68.3
1981-01,"Edmonton, Alberta",Shopping centre,"Index, 2002=100",69.7
1981-01,"Edmonton, Alberta",Shopping centre,"Index, 2002=100",62.6
1981-01,"Edmonton, Alberta",Shopping centre,"Index, 2002=100",67.2
1981-01,"Edmonton, Alberta",Shopping centre,"Index, 2002=100",67.5
1981-01,"Edmonton, Alberta",Shopping centre,"Index, 2002=100",55.3
1981-01,"Edmonton, Alberta",Light factory,"Index, 2002=100",64.8
1981-01,"Edmonton, Alberta",Light factory,"Index, 2002=100",65.7
1981-01,"Edmonton, Alberta",Light factory,"Index, 2002=100",68.1
1981-01,"Edmonton, Alberta",Light factory,"Index, 2002=100",60.2
1981-01,"Edmonton, Alberta",Light factory,"Index, 2002=100",58.1
1981-01,"Edmonton, Alberta",School,"Index, 2002=100",63.4
1981-01,"Edmonton, Alberta",School,"Index, 2002=100",64.6
1981-01,"Edmonton, Alberta",School,"Index, 2002=100",66.2
1981-01,"Edmonton, Alberta",School,"Index, 2002=100",57.8
1981-01,"Edmonton, Alberta",School,"Index, 2002=100",58.0
1981-01,"Vancouver, British Columbia",Office,"Index, 2002=100",58.8
1981-01,"Vancouver, British Columbia",Office,"Index, 2002=100",59.4
1981-01,"Vancouver, British Columbia",Office,"Index, 2002=100",58.7
1981-01,"Vancouver, British Columbia",Office,"Index, 2002=100",54.1
1981-01,"Vancouver, British Columbia",Office,"Index, 2002=100",59.0
1981-01,"Vancouver, British Columbia",Warehouse,"Index, 2002=100",67.9
1981-01,"Vancouver, British Columbia",Warehouse,"Index, 2002=100",61.2
1981-01,"Vancouver, British Columbia",Warehouse,"Index, 2002=100",64.9
1981-01,"Vancouver, British Columbia",Warehouse,"Index, 2002=100",63.3
1981-01,"Vancouver, British Columbia",Warehouse,"Index, 2002=100",63.4
1981-01,"Vancouver, British Columbia",Shopping centre,"Index, 2002=100",64.8
1981-01,"Vancouver, British Columbia",Shopping centre,"Index, 2002=100",60.4
1981-01,"Vancouver, British Columbia",Shopping centre,"Index, 2002=100",60.0
1981-01,"Vancouver, British Columbia",Shopping centre,"Index, 2002=100",69.1
1981-01,"Vancouver, British Columbia",Shopping centre,"Index, 2002=100",55.2
1981-01,"Vancouver, British Columbia",Light factory,"Index, 2002=100",59.7
1981-01,"Vancouver, British Columbia",Light factory,"Index, 2002=100",60.4
1981-01,"Vancouver, British Columbia",Light factory,"Index, 2002=100",58.2
1981-01,"Vancouver, British Columbia",Light factory,"Index, 2002=100",63.1
1981-01,"Vancouver, British Columbia",Light factory,"Index, 2002=100",55.7
1981-01,"Vancouver, British Columbia",School,"Index, 2002=100",58.6
1981-01,"Vancouver, British Columbia",School,"Index, 2002=100",58.6
1981-01,"Vancouver, British Columbia",School,"Index, 2002=100",58.5
1981-01,"Vancouver, British Columbia",School,"Index, 2002=100",57.1
1981-01,"Vancouver, British Columbia",School,"Index, 2002=100",53.7
1981-04,Seven census metropolitan area composite,Office,"Index, 2002=100",59.7
1981-04,Seven census metropolitan area composite,Warehouse,"Index, 2002=100",54.7
1981-04,Seven census metropolitan area composite,Shopping centre,"Index, 2002=100",61.0
1981-04,Seven census metropolitan area composite,Light factory,"Index, 2002=100",51.4
1981-04,Seven census metropolitan area composite,School,"Index, 2002=100",57.7
1981-04,"Halifax, Nova Scotia",Office,"Index, 2002=100",69.0
1981-04,"Halifax, Nova Scotia",Office,"Index, 2002=100",73.2
1981-04,"Halifax, Nova Scotia",Office,"Index, 2002=100",80.0
1981-04,"Halifax, Nova Scotia",Office,"Index, 2002=100",52.9
1981-04,"Halifax, Nova Scotia",Office,"Index, 2002=100",51.8
1981-04,"Halifax, Nova Scotia",Warehouse,"Index, 2002=100",70.3
1981-04,"Halifax, Nova Scotia",Warehouse,"Index, 2002=100",69.8
1981-04,"Halifax, Nova Scotia",Warehouse,"Index, 2002=100",75.5
1981-04,"Halifax, Nova Scotia",Warehouse,"Index, 2002=100",53.8
1981-04,"Halifax, Nova Scotia",Warehouse,"Index, 2002=100",53.9
1981-04,"Halifax, Nova Scotia",Shopping centre,"Index, 2002=100",67.2
1981-04,"Halifax, Nova Scotia",Shopping centre,"Index, 2002=100",66.0
1981-04,"Halifax, Nova Scotia",Shopping centre,"Index, 2002=100",71.2
1981-04,"Halifax, Nova Scotia",Shopping centre,"Index, 2002=100",61.3
1981-04,"Halifax, Nova Scotia",Shopping centre,"Index, 2002=100",55.7
1981-04,"Halifax, Nova Scotia",Light factory,"Index, 2002=100",62.7
1981-04,"Halifax, Nova Scotia",Light factory,"Index, 2002=100",74.8
1981-04,"Halifax, Nova Scotia",Light factory,"Index, 2002=100",70.5
1981-04,"Halifax, Nova Scotia",Light factory,"Index, 2002=100",48.6
1981-04,"Halifax, Nova Scotia",Light factory,"Index, 2002=100",48.3
1981-04,"Halifax, Nova Scotia",School,"Index, 2002=100",64.6
1981-04,"Halifax, Nova Scotia",School,"Index, 2002=100",77.2
1981-04,"Halifax, Nova Scotia",School,"Index, 2002=100",72.7
1981-04,"Halifax, Nova Scotia",School,"Index, 2002=100",51.7
1981-04,"Halifax, Nova Scotia",School,"Index, 2002=100",50.4
1981-04,"Montréal, Quebec",Office,"Index, 2002=100",55.6
1981-04,"Montréal, Quebec",Office,"Index, 2002=100",59.7
1981-04,"Montréal, Quebec",Office,"Index, 2002=100",56.8
1981-04,"Montréal, Quebec",Office,"Index, 2002=100",52.1
1981-04,"Montréal, Quebec",Office,"Index, 2002=100",48.3
1981-04,"Montréal, Quebec",Warehouse,"Index, 2002=100",60.8
1981-04,"Montréal, Quebec",Warehouse,"Index, 2002=100",61.3
1981-04,"Montréal, Quebec",Warehouse,"Index, 2002=100",62.5
1981-04,"Montréal, Quebec",Warehouse,"Index, 2002=100",51.4
1981-04,"Montréal, Quebec",Warehouse,"Index, 2002=100",53.9
1981-04,"Montréal, Quebec",Shopping centre,"Index, 2002=100",59.9
1981-04,"Montréal, Quebec",Shopping centre,"Index, 2002=100",59.3
1981-04,"Montréal, Quebec",Shopping centre,"Index, 2002=100",59.7
1981-04,"Montréal, Quebec",Shopping centre,"Index, 2002=100",63.4
1981-04,"Montréal, Quebec",Shopping centre,"Index, 2002=100",56.7
1981-04,"Montréal, Quebec",Light factory,"Index, 2002=100",53.9
1981-04,"Montréal, Quebec",Light factory,"Index, 2002=100",57.7
1981-04,"Montréal, Quebec",Light factory,"Index, 2002=100",54.4
1981-04,"Montréal, Quebec",Light factory,"Index, 2002=100",52.5
1981-04,"Montréal, Quebec",Light factory,"Index, 2002=100",51.9
1981-04,"Montréal, Quebec",School,"Index, 2002=100",54.5
1981-04,"Montréal, Quebec",School,"Index, 2002=100",54.4
1981-04,"Montréal, Quebec",School,"Index, 2002=100",56.8
1981-04,"Montréal, Quebec",School,"Index, 2002=100",54.1
1981-04,"Montréal, Quebec",School,"Index, 2002=100",47.8
1981-04,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Office,"Index, 2002=100",49.1
1981-04,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Office,"Index, 2002=100",44.7
1981-04,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Office,"Index, 2002=100",54.9
1981-04,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Office,"Index, 2002=100",46.4
1981-04,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Office,"Index, 2002=100",49.8
1981-04,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Warehouse,"Index, 2002=100",51.5
1981-04,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Warehouse,"Index, 2002=100",51.5
1981-04,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Warehouse,"Index, 2002=100",52.0
1981-04,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Warehouse,"Index, 2002=100",46.2
1981-04,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Warehouse,"Index, 2002=100",53.0
1981-04,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Shopping centre,"Index, 2002=100",51.3
1981-04,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Shopping centre,"Index, 2002=100",48.1
1981-04,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Shopping centre,"Index, 2002=100",49.7
1981-04,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Shopping centre,"Index, 2002=100",61.2
1981-04,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Shopping centre,"Index, 2002=100",61.0
1981-04,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Light factory,"Index, 2002=100",47.1
1981-04,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Light factory,"Index, 2002=100",52.0
1981-04,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Light factory,"Index, 2002=100",47.6
1981-04,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Light factory,"Index, 2002=100",45.1
1981-04,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Light factory,"Index, 2002=100",52.2
1981-04,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",School,"Index, 2002=100",49.8
1981-04,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",School,"Index, 2002=100",50.1
1981-04,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",School,"Index, 2002=100",53.3
1981-04,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",School,"Index, 2002=100",47.5
1981-04,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",School,"Index, 2002=100",44.2
1981-04,"Toronto, Ontario",Office,"Index, 2002=100",48.3
1981-04,"Toronto, Ontario",Office,"Index, 2002=100",46.7
1981-04,"Toronto, Ontario",Office,"Index, 2002=100",52.3
1981-04,"Toronto, Ontario",Office,"Index, 2002=100",46.5
1981-04,"Toronto, Ontario",Office,"Index, 2002=100",44.8
1981-04,"Toronto, Ontario",Warehouse,"Index, 2002=100",44.2
1981-04,"Toronto, Ontario",Warehouse,"Index, 2002=100",43.4
1981-04,"Toronto, Ontario",Warehouse,"Index, 2002=100",43.8
1981-04,"Toronto, Ontario",Warehouse,"Index, 2002=100",45.4
1981-04,"Toronto, Ontario",Warehouse,"Index, 2002=100",51.3
1981-04,"Toronto, Ontario",Shopping centre,"Index, 2002=100",48.5
1981-04,"Toronto, Ontario",Shopping centre,"Index, 2002=100",47.2
1981-04,"Toronto, Ontario",Shopping centre,"Index, 2002=100",46.6
1981-04,"Toronto, Ontario",Shopping centre,"Index, 2002=100",56.5
1981-04,"Toronto, Ontario",Shopping centre,"Index, 2002=100",53.8
1981-04,"Toronto, Ontario",Light factory,"Index, 2002=100",42.7
1981-04,"Toronto, Ontario",Light factory,"Index, 2002=100",46.9
1981-04,"Toronto, Ontario",Light factory,"Index, 2002=100",39.2
1981-04,"Toronto, Ontario",Light factory,"Index, 2002=100",46.4
1981-04,"Toronto, Ontario",Light factory,"Index, 2002=100",44.0
1981-04,"Toronto, Ontario",School,"Index, 2002=100",47.6
1981-04,"Toronto, Ontario",School,"Index, 2002=100",51.0
1981-04,"Toronto, Ontario",School,"Index, 2002=100",48.2
1981-04,"Toronto, Ontario",School,"Index, 2002=100",45.1
1981-04,"Toronto, Ontario",School,"Index, 2002=100",43.2
1981-04,"Calgary, Alberta",Office,"Index, 2002=100",67.7
1981-04,"Calgary, Alberta",Office,"Index, 2002=100",62.4
1981-04,"Calgary, Alberta",Office,"Index, 2002=100",71.9
1981-04,"Calgary, Alberta",Office,"Index, 2002=100",58.4
1981-04,"Calgary, Alberta",Office,"Index, 2002=100",77.0
1981-04,"Calgary, Alberta",Warehouse,"Index, 2002=100",69.6
1981-04,"Calgary, Alberta",Warehouse,"Index, 2002=100",64.1
1981-04,"Calgary, Alberta",Warehouse,"Index, 2002=100",69.3
1981-04,"Calgary, Alberta",Warehouse,"Index, 2002=100",62.2
1981-04,"Calgary, Alberta",Warehouse,"Index, 2002=100",69.2
1981-04,"Calgary, Alberta",Shopping centre,"Index, 2002=100",70.4
1981-04,"Calgary, Alberta",Shopping centre,"Index, 2002=100",62.6
1981-04,"Calgary, Alberta",Shopping centre,"Index, 2002=100",66.5
1981-04,"Calgary, Alberta",Shopping centre,"Index, 2002=100",69.7
1981-04,"Calgary, Alberta",Shopping centre,"Index, 2002=100",70.4
1981-04,"Calgary, Alberta",Light factory,"Index, 2002=100",67.3
1981-04,"Calgary, Alberta",Light factory,"Index, 2002=100",62.4
1981-04,"Calgary, Alberta",Light factory,"Index, 2002=100",72.4
1981-04,"Calgary, Alberta",Light factory,"Index, 2002=100",61.3
1981-04,"Calgary, Alberta",Light factory,"Index, 2002=100",65.9
1981-04,"Calgary, Alberta",School,"Index, 2002=100",64.6
1981-04,"Calgary, Alberta",School,"Index, 2002=100",62.7
1981-04,"Calgary, Alberta",School,"Index, 2002=100",67.6
1981-04,"Calgary, Alberta",School,"Index, 2002=100",57.5
1981-04,"Calgary, Alberta",School,"Index, 2002=100",64.5
1981-04,"Edmonton, Alberta",Office,"Index, 2002=100",65.1
1981-04,"Edmonton, Alberta",Office,"Index, 2002=100",64.0
1981-04,"Edmonton, Alberta",Office,"Index, 2002=100",67.2
1981-04,"Edmonton, Alberta",Office,"Index, 2002=100",59.5
1981-04,"Edmonton, Alberta",Office,"Index, 2002=100",66.6
1981-04,"Edmonton, Alberta",Warehouse,"Index, 2002=100",71.8
1981-04,"Edmonton, Alberta",Warehouse,"Index, 2002=100",66.6
1981-04,"Edmonton, Alberta",Warehouse,"Index, 2002=100",71.5
1981-04,"Edmonton, Alberta",Warehouse,"Index, 2002=100",63.3
1981-04,"Edmonton, Alberta",Warehouse,"Index, 2002=100",70.3
1981-04,"Edmonton, Alberta",Shopping centre,"Index, 2002=100",72.0
1981-04,"Edmonton, Alberta",Shopping centre,"Index, 2002=100",65.9
1981-04,"Edmonton, Alberta",Shopping centre,"Index, 2002=100",68.9
1981-04,"Edmonton, Alberta",Shopping centre,"Index, 2002=100",69.5
1981-04,"Edmonton, Alberta",Shopping centre,"Index, 2002=100",56.0
1981-04,"Edmonton, Alberta",Light factory,"Index, 2002=100",66.8
1981-04,"Edmonton, Alberta",Light factory,"Index, 2002=100",67.0
1981-04,"Edmonton, Alberta",Light factory,"Index, 2002=100",69.7
1981-04,"Edmonton, Alberta",Light factory,"Index, 2002=100",63.2
1981-04,"Edmonton, Alberta",Light factory,"Index, 2002=100",59.8
1981-04,"Edmonton, Alberta",School,"Index, 2002=100",65.4
1981-04,"Edmonton, Alberta",School,"Index, 2002=100",66.6
1981-04,"Edmonton, Alberta",School,"Index, 2002=100",67.9
1981-04,"Edmonton, Alberta",School,"Index, 2002=100",59.9
1981-04,"Edmonton, Alberta",School,"Index, 2002=100",60.6
1981-04,"Vancouver, British Columbia",Office,"Index, 2002=100",61.4
1981-04,"Vancouver, British Columbia",Office,"Index, 2002=100",62.4
1981-04,"Vancouver, British Columbia",Office,"Index, 2002=100",61.6
1981-04,"Vancouver, British Columbia",Office,"Index, 2002=100",54.8
1981-04,"Vancouver, British Columbia",Office,"Index, 2002=100",59.9
1981-04,"Vancouver, British Columbia",Warehouse,"Index, 2002=100",70.1
1981-04,"Vancouver, British Columbia",Warehouse,"Index, 2002=100",63.2
1981-04,"Vancouver, British Columbia",Warehouse,"Index, 2002=100",66.9
1981-04,"Vancouver, British Columbia",Warehouse,"Index, 2002=100",66.0
1981-04,"Vancouver, British Columbia",Warehouse,"Index, 2002=100",66.4
1981-04,"Vancouver, British Columbia",Shopping centre,"Index, 2002=100",66.7
1981-04,"Vancouver, British Columbia",Shopping centre,"Index, 2002=100",62.6
1981-04,"Vancouver, British Columbia",Shopping centre,"Index, 2002=100",62.1
1981-04,"Vancouver, British Columbia",Shopping centre,"Index, 2002=100",69.6
1981-04,"Vancouver, British Columbia",Shopping centre,"Index, 2002=100",56.8
1981-04,"Vancouver, British Columbia",Light factory,"Index, 2002=100",61.9
1981-04,"Vancouver, British Columbia",Light factory,"Index, 2002=100",62.7
1981-04,"Vancouver, British Columbia",Light factory,"Index, 2002=100",61.6
1981-04,"Vancouver, British Columbia",Light factory,"Index, 2002=100",64.2
1981-04,"Vancouver, British Columbia",Light factory,"Index, 2002=100",55.3
1981-04,"Vancouver, British Columbia",School,"Index, 2002=100",60.6
1981-04,"Vancouver, British Columbia",School,"Index, 2002=100",61.3
1981-04,"Vancouver, British Columbia",School,"Index, 2002=100",60.9
1981-04,"Vancouver, British Columbia",School,"Index, 2002=100",58.3
1981-04,"Vancouver, British Columbia",School,"Index, 2002=100",54.8
1981-07,Seven census metropolitan area composite,Office,"Index, 2002=100",61.5
1981-07,Seven census metropolitan area composite,Warehouse,"Index, 2002=100",56.7
1981-07,Seven census metropolitan area composite,Shopping centre,"Index, 2002=100",62.7
1981-07,Seven census metropolitan area composite,Light factory,"Index, 2002=100",53.1
1981-07,Seven census metropolitan area composite,School,"Index, 2002=100",59.9
1981-07,"Halifax, Nova Scotia",Office,"Index, 2002=100",70.8
1981-07,"Halifax, Nova Scotia",Office,"Index, 2002=100",76.2
1981-07,"Halifax, Nova Scotia",Office,"Index, 2002=100",82.0
