date,region,measures,unit,index_value
1982-11,Canada,Consumer Price Index (CPI) inversely weighted by volatility and is adjusted to exclude the effect of changes in indirect taxes (CPIW) (year-over-year percent change),Percent,9.2
1982-12,Canada,Consumer Price Index (CPI) inversely weighted by volatility and is adjusted to exclude the effect of changes in indirect taxes (CPIW) (year-over-year percent change),Percent,9.0
1983-01,Canada,Consumer Price Index (CPI) inversely weighted by volatility and is adjusted to exclude the effect of changes in indirect taxes (CPIW) (year-over-year percent change),Percent,8.3
1983-02,Canada,Consumer Price Index (CPI) inversely weighted by volatility and is adjusted to exclude the effect of changes in indirect taxes (CPIW) (year-over-year percent change),Percent,7.8
1983-03,Canada,Consumer Price Index (CPI) inversely weighted by volatility and is adjusted to exclude the effect of changes in indirect taxes (CPIW) (year-over-year percent change),Percent,7.3
1983-04,Canada,Consumer Price Index (CPI) inversely weighted by volatility and is adjusted to exclude the effect of changes in indirect taxes (CPIW) (year-over-year percent change),Percent,6.9
1983-05,Canada,Consumer Price Index (CPI) inversely weighted by volatility and is adjusted to exclude the effect of changes in indirect taxes (CPIW) (year-over-year percent change),Percent,6.1
1983-06,Canada,Consumer Price Index (CPI) inversely weighted by volatility and is adjusted to exclude the effect of changes in indirect taxes (CPIW) (year-over-year percent change),Percent,5.5
1983-07,Canada,Consumer Price Index (CPI) inversely weighted by volatility and is adjusted to exclude the effect of changes in indirect taxes (CPIW) (year-over-year percent change),Percent,5.5
1983-08,Canada,Consumer Price Index (CPI) inversely weighted by volatility and is adjusted to exclude the effect of changes in indirect taxes (CPIW) (year-over-year percent change),Percent,5.2
1983-09,Canada,Consumer Price Index (CPI) inversely weighted by volatility and is adjusted to exclude the effect of changes in indirect taxes (CPIW) (year-over-year percent change),Percent,4.9
1983-10,Canada,Consumer Price Index (CPI) inversely weighted by volatility and is adjusted to exclude the effect of changes in indirect taxes (CPIW) (year-over-year percent change),Percent,4.7
1983-11,Canada,Consumer Price Index (CPI) inversely weighted by volatility and is adjusted to exclude the effect of changes in indirect taxes (CPIW) (year-over-year percent change),Percent,4.2
1983-12,Canada,Consumer Price Index (CPI) inversely weighted by volatility and is adjusted to exclude the effect of changes in indirect taxes (CPIW) (year-over-year percent change),Percent,4.3
1984-01,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes","Index, 2002=100",62.1
1984-01,Canada,Consumer Price Index (CPI) inversely weighted by volatility and is adjusted to exclude the effect of changes in indirect taxes (CPIW) (year-over-year percent change),Percent,4.6
1984-01,Canada,Consumer Price Index (CPI) excluding the effect of indirect taxes,"Index, 2002=100",63.3
1984-01,Canada,Consumer Price Index (CPI) excluding the effect of indirect taxes,"Index, 1992=100",75.5
1984-01,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes","Index, 1992=100",73.4
1984-01,Canada,"Consumer Price Index (CPI) excluding the effect of indirect taxes, seasonally adjusted","Index, 1992=100",75.7
1984-01,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes, seasonally adjusted","Index, 1992=100",73.6
1984-01,Canada,Consumer Price Index (CPI) excluding 8 of the most volatile components and indirect taxes (CPIX),"Index, 1986=100",90.9
1984-01,Canada,Consumer Price Index (CPI) excluding the effect of indirect taxes,"Index, 1986=100",92.0
1984-01,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes","Index, 1986=100",91.3
1984-01,Canada,"Consumer Price Index (CPI) excluding the effect of indirect taxes, seasonally adjusted","Index, 1986=100",92.4
1984-01,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes, seasonally adjusted","Index, 1986=100",91.5
1984-02,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes","Index, 2002=100",62.3
1984-02,Canada,Consumer Price Index (CPI) inversely weighted by volatility and is adjusted to exclude the effect of changes in indirect taxes (CPIW) (year-over-year percent change),Percent,4.5
1984-02,Canada,Consumer Price Index (CPI) excluding the effect of indirect taxes,"Index, 2002=100",63.6
1984-02,Canada,Consumer Price Index (CPI) excluding the effect of indirect taxes,"Index, 1992=100",75.9
1984-02,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes","Index, 1992=100",73.6
1984-02,Canada,"Consumer Price Index (CPI) excluding the effect of indirect taxes, seasonally adjusted","Index, 1992=100",76.0
1984-02,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes, seasonally adjusted","Index, 1992=100",73.7
1984-02,Canada,Consumer Price Index (CPI) excluding 8 of the most volatile components and indirect taxes (CPIX),"Index, 1986=100",91.3
1984-02,Canada,Consumer Price Index (CPI) excluding the effect of indirect taxes,"Index, 1986=100",92.5
1984-02,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes","Index, 1986=100",91.6
1984-02,Canada,"Consumer Price Index (CPI) excluding the effect of indirect taxes, seasonally adjusted","Index, 1986=100",92.7
1984-02,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes, seasonally adjusted","Index, 1986=100",91.7
1984-02,Canada,Contribution of indirect taxes to monthly growth rate of the Consumer Price Index (CPI),Percent,0.0
1984-02,Canada,Contribution of indirect taxes to monthly growth rate of the Consumer Price Index (CPI) excluding food and energy,Percent,0.0
1984-03,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes","Index, 2002=100",62.7
1984-03,Canada,Consumer Price Index (CPI) inversely weighted by volatility and is adjusted to exclude the effect of changes in indirect taxes (CPIW) (year-over-year percent change),Percent,4.4
1984-03,Canada,Consumer Price Index (CPI) excluding the effect of indirect taxes,"Index, 2002=100",63.7
1984-03,Canada,Consumer Price Index (CPI) excluding the effect of indirect taxes,"Index, 1992=100",76.0
1984-03,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes","Index, 1992=100",74.0
1984-03,Canada,"Consumer Price Index (CPI) excluding the effect of indirect taxes, seasonally adjusted","Index, 1992=100",76.0
1984-03,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes, seasonally adjusted","Index, 1992=100",73.9
1984-03,Canada,Consumer Price Index (CPI) excluding 8 of the most volatile components and indirect taxes (CPIX),"Index, 1986=100",91.8
1984-03,Canada,Consumer Price Index (CPI) excluding the effect of indirect taxes,"Index, 1986=100",92.8
1984-03,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes","Index, 1986=100",92.0
1984-03,Canada,"Consumer Price Index (CPI) excluding the effect of indirect taxes, seasonally adjusted","Index, 1986=100",92.7
1984-03,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes, seasonally adjusted","Index, 1986=100",91.9
1984-03,Canada,Contribution of indirect taxes to monthly growth rate of the Consumer Price Index (CPI),Percent,0.0
1984-03,Canada,Contribution of indirect taxes to monthly growth rate of the Consumer Price Index (CPI) excluding food and energy,Percent,0.0
1984-04,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes","Index, 2002=100",62.8
1984-04,Canada,Consumer Price Index (CPI) inversely weighted by volatility and is adjusted to exclude the effect of changes in indirect taxes (CPIW) (year-over-year percent change),Percent,4.4
1984-04,Canada,Consumer Price Index (CPI) excluding the effect of indirect taxes,"Index, 2002=100",63.9
1984-04,Canada,Consumer Price Index (CPI) excluding the effect of indirect taxes,"Index, 1992=100",76.3
1984-04,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes","Index, 1992=100",74.2
1984-04,Canada,"Consumer Price Index (CPI) excluding the effect of indirect taxes, seasonally adjusted","Index, 1992=100",76.2
1984-04,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes, seasonally adjusted","Index, 1992=100",74.1
1984-04,Canada,Consumer Price Index (CPI) excluding 8 of the most volatile components and indirect taxes (CPIX),"Index, 1986=100",92.1
1984-04,Canada,Consumer Price Index (CPI) excluding the effect of indirect taxes,"Index, 1986=100",93.0
1984-04,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes","Index, 1986=100",92.2
1984-04,Canada,"Consumer Price Index (CPI) excluding the effect of indirect taxes, seasonally adjusted","Index, 1986=100",93.0
1984-04,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes, seasonally adjusted","Index, 1986=100",92.2
1984-04,Canada,Contribution of indirect taxes to monthly growth rate of the Consumer Price Index (CPI),Percent,0.0
1984-04,Canada,Contribution of indirect taxes to monthly growth rate of the Consumer Price Index (CPI) excluding food and energy,Percent,0.0
1984-05,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes","Index, 2002=100",63.0
1984-05,Canada,Consumer Price Index (CPI) inversely weighted by volatility and is adjusted to exclude the effect of changes in indirect taxes (CPIW) (year-over-year percent change),Percent,4.4
1984-05,Canada,Consumer Price Index (CPI) excluding the effect of indirect taxes,"Index, 2002=100",63.9
1984-05,Canada,Consumer Price Index (CPI) excluding the effect of indirect taxes,"Index, 1992=100",76.3
1984-05,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes","Index, 1992=100",74.4
1984-05,Canada,"Consumer Price Index (CPI) excluding the effect of indirect taxes, seasonally adjusted","Index, 1992=100",76.3
1984-05,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes, seasonally adjusted","Index, 1992=100",74.5
1984-05,Canada,Consumer Price Index (CPI) excluding 8 of the most volatile components and indirect taxes (CPIX),"Index, 1986=100",92.3
1984-05,Canada,Consumer Price Index (CPI) excluding the effect of indirect taxes,"Index, 1986=100",93.1
1984-05,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes","Index, 1986=100",92.5
1984-05,Canada,"Consumer Price Index (CPI) excluding the effect of indirect taxes, seasonally adjusted","Index, 1986=100",93.1
1984-05,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes, seasonally adjusted","Index, 1986=100",92.6
1984-05,Canada,Contribution of indirect taxes to monthly growth rate of the Consumer Price Index (CPI),Percent,0.0
1984-05,Canada,Contribution of indirect taxes to monthly growth rate of the Consumer Price Index (CPI) excluding food and energy,Percent,0.0
1984-06,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes","Index, 2002=100",63.1
1984-06,Canada,Consumer Price Index (CPI) inversely weighted by volatility and is adjusted to exclude the effect of changes in indirect taxes (CPIW) (year-over-year percent change),Percent,4.1
1984-06,Canada,Consumer Price Index (CPI) excluding the effect of indirect taxes,"Index, 2002=100",64.3
1984-06,Canada,Consumer Price Index (CPI) excluding the effect of indirect taxes,"Index, 1992=100",76.7
1984-06,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes","Index, 1992=100",74.5
1984-06,Canada,"Consumer Price Index (CPI) excluding the effect of indirect taxes, seasonally adjusted","Index, 1992=100",76.6
1984-06,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes, seasonally adjusted","Index, 1992=100",74.6
1984-06,Canada,Consumer Price Index (CPI) excluding 8 of the most volatile components and indirect taxes (CPIX),"Index, 1986=100",92.4
1984-06,Canada,Consumer Price Index (CPI) excluding the effect of indirect taxes,"Index, 1986=100",93.5
1984-06,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes","Index, 1986=100",92.7
1984-06,Canada,"Consumer Price Index (CPI) excluding the effect of indirect taxes, seasonally adjusted","Index, 1986=100",93.5
1984-06,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes, seasonally adjusted","Index, 1986=100",92.8
1984-06,Canada,Contribution of indirect taxes to monthly growth rate of the Consumer Price Index (CPI),Percent,0.0
1984-06,Canada,Contribution of indirect taxes to monthly growth rate of the Consumer Price Index (CPI) excluding food and energy,Percent,0.0
1984-07,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes","Index, 2002=100",63.4
1984-07,Canada,Consumer Price Index (CPI) inversely weighted by volatility and is adjusted to exclude the effect of changes in indirect taxes (CPIW) (year-over-year percent change),Percent,4.0
1984-07,Canada,Consumer Price Index (CPI) excluding the effect of indirect taxes,"Index, 2002=100",64.5
1984-07,Canada,Consumer Price Index (CPI) excluding the effect of indirect taxes,"Index, 1992=100",77.1
1984-07,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes","Index, 1992=100",74.8
1984-07,Canada,"Consumer Price Index (CPI) excluding the effect of indirect taxes, seasonally adjusted","Index, 1992=100",77.0
1984-07,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes, seasonally adjusted","Index, 1992=100",74.8
1984-07,Canada,Consumer Price Index (CPI) excluding 8 of the most volatile components and indirect taxes (CPIX),"Index, 1986=100",92.6
1984-07,Canada,Consumer Price Index (CPI) excluding the effect of indirect taxes,"Index, 1986=100",94.0
1984-07,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes","Index, 1986=100",93.0
1984-07,Canada,"Consumer Price Index (CPI) excluding the effect of indirect taxes, seasonally adjusted","Index, 1986=100",93.9
1984-07,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes, seasonally adjusted","Index, 1986=100",93.1
1984-07,Canada,Contribution of indirect taxes to monthly growth rate of the Consumer Price Index (CPI),Percent,0.0
1984-07,Canada,Contribution of indirect taxes to monthly growth rate of the Consumer Price Index (CPI) excluding food and energy,Percent,0.0
1984-08,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes","Index, 2002=100",63.5
1984-08,Canada,Consumer Price Index (CPI) inversely weighted by volatility and is adjusted to exclude the effect of changes in indirect taxes (CPIW) (year-over-year percent change),Percent,3.7
1984-08,Canada,Consumer Price Index (CPI) excluding the effect of indirect taxes,"Index, 2002=100",64.5
1984-08,Canada,Consumer Price Index (CPI) excluding the effect of indirect taxes,"Index, 1992=100",77.1
1984-08,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes","Index, 1992=100",75.0
1984-08,Canada,"Consumer Price Index (CPI) excluding the effect of indirect taxes, seasonally adjusted","Index, 1992=100",77.1
1984-08,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes, seasonally adjusted","Index, 1992=100",75.0
1984-08,Canada,Consumer Price Index (CPI) excluding 8 of the most volatile components and indirect taxes (CPIX),"Index, 1986=100",92.8
1984-08,Canada,Consumer Price Index (CPI) excluding the effect of indirect taxes,"Index, 1986=100",94.0
1984-08,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes","Index, 1986=100",93.3
1984-08,Canada,"Consumer Price Index (CPI) excluding the effect of indirect taxes, seasonally adjusted","Index, 1986=100",94.0
1984-08,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes, seasonally adjusted","Index, 1986=100",93.3
1984-08,Canada,Contribution of indirect taxes to monthly growth rate of the Consumer Price Index (CPI),Percent,0.0
1984-08,Canada,Contribution of indirect taxes to monthly growth rate of the Consumer Price Index (CPI) excluding food and energy,Percent,0.0
1984-09,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes","Index, 2002=100",63.7
1984-09,Canada,Consumer Price Index (CPI) inversely weighted by volatility and is adjusted to exclude the effect of changes in indirect taxes (CPIW) (year-over-year percent change),Percent,3.7
1984-09,Canada,Consumer Price Index (CPI) excluding the effect of indirect taxes,"Index, 2002=100",64.6
1984-09,Canada,Consumer Price Index (CPI) excluding the effect of indirect taxes,"Index, 1992=100",77.2
1984-09,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes","Index, 1992=100",75.2
1984-09,Canada,"Consumer Price Index (CPI) excluding the effect of indirect taxes, seasonally adjusted","Index, 1992=100",77.2
1984-09,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes, seasonally adjusted","Index, 1992=100",75.2
1984-09,Canada,Consumer Price Index (CPI) excluding 8 of the most volatile components and indirect taxes (CPIX),"Index, 1986=100",93.2
1984-09,Canada,Consumer Price Index (CPI) excluding the effect of indirect taxes,"Index, 1986=100",94.1
1984-09,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes","Index, 1986=100",93.6
1984-09,Canada,"Consumer Price Index (CPI) excluding the effect of indirect taxes, seasonally adjusted","Index, 1986=100",94.2
1984-09,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes, seasonally adjusted","Index, 1986=100",93.5
1984-09,Canada,Contribution of indirect taxes to monthly growth rate of the Consumer Price Index (CPI),Percent,0.0
1984-09,Canada,Contribution of indirect taxes to monthly growth rate of the Consumer Price Index (CPI) excluding food and energy,Percent,0.0
1984-10,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes","Index, 2002=100",63.8
1984-10,Canada,Consumer Price Index (CPI) inversely weighted by volatility and is adjusted to exclude the effect of changes in indirect taxes (CPIW) (year-over-year percent change),Percent,3.5
1984-10,Canada,Consumer Price Index (CPI) excluding the effect of indirect taxes,"Index, 2002=100",64.7
1984-10,Canada,Consumer Price Index (CPI) excluding the effect of indirect taxes,"Index, 1992=100",77.2
1984-10,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes","Index, 1992=100",75.3
1984-10,Canada,"Consumer Price Index (CPI) excluding the effect of indirect taxes, seasonally adjusted","Index, 1992=100",77.1
1984-10,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes, seasonally adjusted","Index, 1992=100",74.9
1984-10,Canada,Consumer Price Index (CPI) excluding 8 of the most volatile components and indirect taxes (CPIX),"Index, 1986=100",93.4
1984-10,Canada,Consumer Price Index (CPI) excluding the effect of indirect taxes,"Index, 1986=100",94.1
1984-10,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes","Index, 1986=100",93.6
1984-10,Canada,"Consumer Price Index (CPI) excluding the effect of indirect taxes, seasonally adjusted","Index, 1986=100",94.0
1984-10,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes, seasonally adjusted","Index, 1986=100",93.2
1984-10,Canada,Contribution of indirect taxes to monthly growth rate of the Consumer Price Index (CPI),Percent,0.2
1984-10,Canada,Contribution of indirect taxes to monthly growth rate of the Consumer Price Index (CPI) excluding food and energy,Percent,0.2
1984-11,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes","Index, 2002=100",64.0
1984-11,Canada,Consumer Price Index (CPI) inversely weighted by volatility and is adjusted to exclude the effect of changes in indirect taxes (CPIW) (year-over-year percent change),Percent,3.8
1984-11,Canada,Consumer Price Index (CPI) excluding the effect of indirect taxes,"Index, 2002=100",65.0
1984-11,Canada,Consumer Price Index (CPI) excluding the effect of indirect taxes,"Index, 1992=100",77.6
1984-11,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes","Index, 1992=100",75.6
1984-11,Canada,"Consumer Price Index (CPI) excluding the effect of indirect taxes, seasonally adjusted","Index, 1992=100",77.6
1984-11,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes, seasonally adjusted","Index, 1992=100",75.3
1984-11,Canada,Consumer Price Index (CPI) excluding 8 of the most volatile components and indirect taxes (CPIX),"Index, 1986=100",93.9
1984-11,Canada,Consumer Price Index (CPI) excluding the effect of indirect taxes,"Index, 1986=100",94.8
1984-11,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes","Index, 1986=100",94.0
1984-11,Canada,"Consumer Price Index (CPI) excluding the effect of indirect taxes, seasonally adjusted","Index, 1986=100",94.7
1984-11,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes, seasonally adjusted","Index, 1986=100",93.7
1984-11,Canada,Contribution of indirect taxes to monthly growth rate of the Consumer Price Index (CPI),Percent,0.0
1984-11,Canada,Contribution of indirect taxes to monthly growth rate of the Consumer Price Index (CPI) excluding food and energy,Percent,0.0
1984-12,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes","Index, 2002=100",64.0
1984-12,Canada,Consumer Price Index (CPI) inversely weighted by volatility and is adjusted to exclude the effect of changes in indirect taxes (CPIW) (year-over-year percent change),Percent,3.7
1984-12,Canada,Consumer Price Index (CPI) excluding the effect of indirect taxes,"Index, 2002=100",65.0
1984-12,Canada,Consumer Price Index (CPI) excluding the effect of indirect taxes,"Index, 1992=100",77.6
1984-12,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes","Index, 1992=100",75.6
1984-12,Canada,"Consumer Price Index (CPI) excluding the effect of indirect taxes, seasonally adjusted","Index, 1992=100",77.9
1984-12,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes, seasonally adjusted","Index, 1992=100",75.5
1984-12,Canada,Consumer Price Index (CPI) excluding 8 of the most volatile components and indirect taxes (CPIX),"Index, 1986=100",93.9
1984-12,Canada,Consumer Price Index (CPI) excluding the effect of indirect taxes,"Index, 1986=100",94.8
1984-12,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes","Index, 1986=100",94.0
1984-12,Canada,"Consumer Price Index (CPI) excluding the effect of indirect taxes, seasonally adjusted","Index, 1986=100",95.0
1984-12,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes, seasonally adjusted","Index, 1986=100",93.9
1984-12,Canada,Contribution of indirect taxes to monthly growth rate of the Consumer Price Index (CPI),Percent,0.0
1984-12,Canada,Contribution of indirect taxes to monthly growth rate of the Consumer Price Index (CPI) excluding food and energy,Percent,0.0
1985-01,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes","Index, 2002=100",64.0
1985-01,Canada,Consumer Price Index (CPI) inversely weighted by volatility and is adjusted to exclude the effect of changes in indirect taxes (CPIW) (year-over-year percent change),Percent,3.9
1985-01,Canada,Consumer Price Index (CPI) excluding the effect of indirect taxes,"Index, 2002=100",65.4
1985-01,Canada,Consumer Price Index (CPI) excluding the effect of indirect taxes,"Index, 1992=100",78.1
1985-01,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes","Index, 1992=100",75.6
1985-01,Canada,"Consumer Price Index (CPI) excluding the effect of indirect taxes, seasonally adjusted","Index, 1992=100",78.3
