Date,Total (house and land),House only,Land only
Jan-18,103.3,103.2,103.7
Feb-18,103.1,102.9,103.8
Mar-18,103.1,102.9,103.7
Apr-18,103.1,102.7,103.7
May-18,103.1,102.7,103.8
Jun-18,103.2,103,103.9
Jul-18,103.3,103.1,103.9
Aug-18,103.3,103,103.9
Sep-18,103.3,102.9,104
Oct-18,103.3,102.9,104
Nov-18,103.3,102.9,104.1
Dec-18,103.3,102.9,104.1
Jan-19,103.2,102.8,104.1
Feb-19,103.2,102.8,104.1
Mar-19,103.2,102.8,104.1
Apr-19,103.2,102.6,104.1
May-19,103.1,102.5,104.2
Jun-19,103,102.4,104.2
Jul-19,102.9,102.2,104.1
Aug-19,103,102.3,104.2
Sep-19,103.2,102.6,104.2
Oct-19,103.3,102.7,104.2
Nov-19,103.2,102.5,104.3
Dec-19,103.4,102.8,104.4
Jan-20,103.4,102.6,104.8
Feb-20,103.8,103.1,105
Mar-20,104.1,103.5,105.1
Apr-20,104.1,103.5,105.1
May-20,104.2,103.6,105.1
Jun-20,104.3,103.7,105.2
Jul-20,104.7,103.9,105.9
Aug-20,105.2,104.6,106.3
Sep-20,106.5,106.1,106.8
Oct-20,107.3,107.3,107.4
Nov-20,107.9,108,107.8
Dec-20,108.2,108.3,108
Jan-21,109,109.3,108.4
Feb-21,111.1,111,110.1
Mar-21,112.3,112.4,110.7
Apr-21,114.4,114.3,112.9
May-21,116,116.6,113.4
Jun-21,116.7,117.9,112.9
Jul-21,117.2,118.6,113
Aug-21,118,119.5,113.5
Sep-21,118.5,120.1,113.8
Oct-21,119.6,121.4,114.4
Nov-21,120.5,122.4,115.1
Dec-21,120.8,122.9,115.2
Jan-22,121.9,124.3,115.5
Feb-22,123.2,126,116.1
Mar-22,124.7,127.9,116.5
Apr-22,125.1,128.6,116.7
May-22,125.7,129.4,116.8
Jun-22,125.9,129.6,117
Jul-22,126,129.6,117.2
Aug-22,126.1,129.8,117.2
Sep-22,126,129.7,117.1
Oct-22,125.7,129.4,116.7
Nov-22,125.5,129.3,116.6
Dec-22,125.5,129.2,116.6
